,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,hour,weekend,weekday
57426,40.765,-73.98,40.747,-73.979,0,1,1
14071,40.794000000000004,-73.972,40.814,-73.953,14,1,1
55135,40.775999999999996,-73.976,40.787,-73.968,8,1,1
54770,40.751,-73.995,40.799,-73.971,19,1,1
27101,40.742,-73.983,40.723,-74.005,21,1,1
1161,40.758,-73.975,40.791,-73.973,21,1,1
60596,40.742,-73.994,40.74800000000001,-73.97399999999998,17,1,1
43631,40.754,-73.97399999999998,40.757,-73.99,13,1,1
51847,40.74800000000001,-73.995,40.729,-73.977,12,1,1
7273,40.766,-73.977,40.644,-73.783,5,1,1
29698,40.756,-73.991,40.766,-73.957,23,1,1
5094,40.762,-73.961,40.771,-73.95,0,1,1
36961,40.76,-73.97399999999998,40.758,-73.961,12,1,1
41346,40.728,-74.00399999999998,40.741,-73.994,2,1,1
58296,40.738,-73.99,40.749,-73.97,10,1,1
38775,40.757,-73.97,40.774,-73.87100000000002,14,1,1
21807,40.774,-73.874,40.757,-73.97,15,1,1
24667,40.759,-73.992,40.766,-73.96600000000002,21,1,1
23640,40.735,-73.994,40.733000000000004,-73.976,2,1,1
51845,40.766999999999996,-73.987,40.79,-73.969,12,1,1
12454,40.739000000000004,-73.987,40.733000000000004,-73.98,18,1,1
32744,40.733000000000004,-73.982,40.738,-73.997,18,1,1
51376,40.747,-74.002,40.743,-74.007,12,1,1
44713,40.741,-74.005,40.76,-73.962,1,1,1
22953,40.751,-73.994,40.694,-73.862,21,1,1
55299,40.714,-74.01100000000002,40.717,-73.997,13,1,1
55206,40.768,-73.964,40.793,-73.969,14,1,1
47294,40.769,-73.863,40.689,-73.999,23,1,1
17486,40.751,-73.991,40.76,-73.995,14,1,1
4609,40.743,-73.993,40.749,-74.002,8,2,2
44815,40.771,-73.983,40.76,-73.98,20,1,1
23763,40.749,-73.98899999999998,40.784,-73.956,12,1,1
21421,40.743,-74.0,40.711,-74.008,21,1,1
18130,40.735,-73.99,40.74800000000001,-74.008,14,1,1
6902,40.758,-73.96600000000002,40.726,-74.001,10,1,1
26349,40.75,-73.977,40.742,-73.975,7,2,2
23194,40.765,-73.985,40.726,-73.992,20,1,1
60503,40.757,-73.98899999999998,40.751999999999995,-73.982,10,1,1
27385,40.778,-73.959,40.76,-73.97,8,1,1
23381,40.798,-73.937,40.781,-73.95,11,1,1
39153,40.744,-73.982,40.755,-73.999,10,1,1
52394,40.759,-73.98899999999998,40.747,-73.99,21,1,1
24469,40.766999999999996,-73.899,40.766999999999996,-73.899,14,1,1
19759,40.754,-73.969,40.754,-73.969,16,1,1
12212,40.76300000000001,-73.97,40.759,-73.964,18,1,1
39079,40.757,-73.99,40.794000000000004,-73.97,1,1,1
3539,40.77,-73.988,40.764,-73.977,19,1,1
24613,40.762,-73.983,40.75,-73.991,6,1,1
30522,40.772,-73.95,40.764,-73.97,8,1,1
22550,40.755,-73.971,40.774,-73.95100000000002,23,1,1
15125,40.719,-74.007,40.751,-73.97800000000002,15,1,1
54393,40.764,-73.956,40.723,-73.98100000000002,13,1,1
46297,40.758,-74.001,40.749,-73.983,14,1,1
33676,40.729,-74.0,40.747,-73.991,0,1,1
59077,40.778,-73.957,40.781,-73.952,18,1,1
6600,40.644,-73.79,40.746,-73.991,16,1,1
48282,40.773,-73.954,40.779,-73.955,19,1,1
11698,40.717,-73.952,40.709,-73.944,2,1,1
24490,40.745,-73.994,40.745,-73.994,16,1,1
40086,40.738,-74.0,40.727,-74.0,15,1,1
43459,40.774,-73.875,40.787,-73.956,20,1,1
16137,40.724000000000004,-74.008,40.74,-74.006,14,1,1
51737,40.732,-74.001,40.717,-74.01100000000002,22,1,1
32393,40.785,-73.97,40.756,-73.983,13,1,1
20786,40.769,-73.967,40.78,-73.959,11,1,1
5569,40.751,-73.994,40.716,-73.949,22,1,1
17354,40.788000000000004,-73.967,40.747,-73.982,16,1,1
43965,40.745,-74.003,40.751,-74.002,15,1,1
10465,40.76300000000001,-73.99,40.754,-73.973,18,1,1
44318,40.766999999999996,-73.954,40.739000000000004,-73.98,7,1,1
18040,40.76300000000001,-73.993,40.77,-73.953,23,1,1
21030,40.759,-73.985,40.743,-73.98899999999998,21,1,1
9627,40.75,-73.991,40.756,-74.001,13,1,1
34126,40.766999999999996,-73.96300000000002,40.774,-73.873,16,2,2
45927,40.760999999999996,-73.959,40.758,-73.977,12,1,1
36368,40.759,-73.972,40.744,-73.98100000000002,19,1,1
34383,40.74,-74.006,40.722,-73.987,9,1,1
41406,40.803000000000004,-73.95100000000002,40.795,-73.96600000000002,10,1,1
16270,40.781,-73.956,40.775999999999996,-73.958,14,1,1
35511,40.724000000000004,-73.991,40.76,-73.986,19,1,1
58766,40.788000000000004,-73.967,40.751999999999995,-73.98899999999998,19,1,1
39138,40.757,-73.972,40.74800000000001,-73.97800000000002,16,1,1
14682,40.744,-73.984,40.736,-74.001,18,1,1
8970,40.722,-73.987,40.739000000000004,-74.003,2,1,1
27382,40.742,-73.994,40.759,-73.99600000000002,0,1,1
60536,40.792,-73.941,40.762,-73.99,3,1,1
9417,40.766999999999996,-73.967,40.788000000000004,-73.967,7,1,1
14347,40.751999999999995,-73.97399999999998,40.76,-73.984,17,1,1
17732,40.684,-73.977,40.688,-73.959,19,1,1
34607,40.72,-74.005,40.718,-74.015,19,1,1
14960,40.736,-73.994,40.753,-73.979,22,1,1
35412,40.721,-73.988,40.729,-74.0,18,1,1
46073,40.734,-73.99,40.74,-74.002,9,1,1
18974,40.804,-73.967,40.76,-73.979,18,1,1
51776,40.793,-73.967,40.775,-73.98100000000002,8,1,1
27737,40.746,-73.994,40.687,-73.977,22,1,1
13145,40.77,-73.863,40.773,-73.952,22,1,1
53592,40.751,-73.987,40.765,-73.962,18,1,1
53950,40.749,-73.992,40.725,-73.985,20,1,1
13601,40.733000000000004,-73.991,40.749,-73.993,22,1,1
23341,40.75,-73.994,40.781,-73.947,7,1,1
8423,40.764,-73.972,40.753,-73.98100000000002,11,1,1
36541,40.781,-73.954,40.738,-74.0,15,1,1
44933,40.74,-74.006,40.741,-74.001,18,1,1
56746,40.741,-73.994,40.713,-74.01100000000002,9,1,1
44718,40.711999999999996,-73.943,40.777,-73.917,1,1,1
49765,40.731,-73.979,40.774,-73.87100000000002,10,1,1
5535,40.797,-73.972,40.759,-73.965,18,1,1
15141,40.768,-73.98899999999998,40.766,-73.965,13,1,1
39230,40.716,-74.015,40.709,-74.012,12,1,1
38169,40.742,-74.006,40.753,-74.0,2,1,1
53634,40.764,-73.979,40.774,-73.87100000000002,14,2,2
224,40.760999999999996,-73.964,40.773,-73.962,18,1,1
14240,40.778,-73.957,40.749,-73.992,10,1,1
19657,40.766,-73.977,40.787,-73.968,8,1,1
46204,40.753,-73.97800000000002,40.758,-73.984,21,1,1
57309,40.74,-73.995,40.728,-73.983,17,1,1
59958,40.744,-73.926,40.742,-73.933,21,1,1
2545,40.756,-73.973,40.762,-73.97800000000002,11,1,1
41332,40.76,-73.98100000000002,40.78,-73.983,17,1,1
12888,40.751999999999995,-73.976,40.74800000000001,-73.97399999999998,17,1,1
9198,40.775,-73.961,40.784,-73.958,10,1,1
3953,40.76300000000001,-73.982,40.754,-73.985,14,1,1
11643,40.76,-73.992,40.75,-73.992,15,1,1
56943,40.74,-74.003,40.729,-73.991,19,1,1
27565,40.722,-73.987,40.709,-74.008,1,1,1
16633,40.757,-73.984,40.744,-73.99600000000002,14,1,1
53617,40.746,-73.97800000000002,40.756,-73.991,10,1,1
23247,40.746,-73.979,40.778,-73.809,22,1,1
8396,40.774,-73.87100000000002,40.707,-74.007,19,1,1
41831,40.757,-73.973,40.774,-73.872,16,1,1
12584,40.760999999999996,-73.98,40.73,-73.993,15,1,1
46071,40.751,-73.979,40.756,-73.964,12,1,1
26340,40.756,-73.99,40.756,-73.984,6,1,1
18525,40.744,-73.976,40.709,-74.017,14,1,1
21857,40.747,-73.993,40.756,-73.967,11,1,1
7311,40.773,-73.95,40.759,-73.96600000000002,18,1,1
32573,40.783,-73.975,40.751,-73.984,17,1,1
26620,40.756,-73.977,40.751,-73.971,17,1,1
