,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,hour,weekend,weekday
237342,40.749,-73.983,40.759,-73.99,23,False,True
27171,40.708,-74.01,40.75,-73.981,10,False,True
366332,40.764,-73.965,40.753,-73.978,17,False,True
178515,40.741,-73.924,40.753,-73.894,15,False,True
76882,40.726,-74.01,40.642,-73.792,12,False,True
120219,40.732,-73.986,40.723,-73.987,13,False,True
213354,40.746,-73.983,40.705,-74.011,8,False,True
82542,40.726,-73.998,40.729,-74.005,13,False,True
493459,40.797,-73.959,40.789,-73.978,15,True,False
317753,40.758,-73.968,40.765,-74.029,20,False,True
38650,40.714,-74.001,40.717,-73.993,1,False,True
34024,40.714,-74.016,40.702,-74.017,14,False,True
368063,40.764,-73.962,40.756,-73.969,9,False,True
246324,40.749,-73.971,40.738,-73.99,8,False,True
12083,40.675,-73.974,40.648,-74.011,3,False,True
224656,40.749,-73.995,40.723,-73.999,13,False,True
236274,40.749,-73.983,40.711,-74.011,20,False,True
353345,40.764,-73.989,40.741,-73.999,19,False,True
220155,40.746,-73.933,40.747,-73.915,0,False,True
430113,40.773,-73.873,40.78,-73.783,17,False,True
202854,40.746,-74.004,40.768,-73.954,21,False,True
193859,40.744,-73.983,40.753,-73.978,12,False,True
220088,40.746,-73.942,40.747,-73.942,14,False,True
420275,40.773,-73.956,40.738,-73.987,2,False,True
250655,40.752,-73.995,40.759,-73.987,11,False,True
169614,40.741,-73.992,40.777,-73.957,15,False,True
232138,40.749,-73.992,40.771,-73.984,20,False,True
325103,40.761,-73.992,40.756,-73.978,15,False,True
329266,40.761,-73.986,40.777,-73.912,0,True,False
293128,40.755,-73.965,40.72,-73.984,21,False,True
67092,40.723,-74.001,40.72,-73.984,18,False,True
181280,40.744,-74.004,40.756,-73.975,11,False,True
131240,40.735,-73.992,40.729,-74.002,17,True,False
469170,40.782,-73.95,40.804,-73.939,8,True,False
25089,40.708,-74.019,40.747,-73.99,9,True,False
435194,40.776,-73.98,40.831,-73.948,21,False,True
190995,40.744,-73.986,40.741,-74.002,21,True,False
232186,40.749,-73.992,40.771,-73.957,15,False,True
127949,40.735,-73.998,40.735,-73.987,19,False,True
380515,40.767,-73.971,40.759,-73.984,22,False,True
277361,40.755,-73.989,40.768,-73.999,10,True,False
349777,40.761,-73.956,40.741,-73.957,16,False,True
279500,40.755,-73.986,40.771,-73.969,12,False,True
379345,40.767,-73.983,40.774,-73.945,15,False,True
480882,40.788,-73.968,40.765,-73.972,15,False,True
304134,40.758,-73.986,40.72,-73.99,20,False,True
309575,40.758,-73.98,40.765,-73.996,15,False,True
373769,40.767,-73.992,40.753,-73.975,11,False,True
479442,40.788,-73.974,40.651,-73.789,15,False,True
393450,40.77,-73.989,40.774,-73.99,23,False,True
110241,40.732,-74.004,40.747,-73.978,23,False,True
329056,40.761,-73.986,40.771,-73.981,5,False,True
214519,40.746,-73.983,40.759,-73.972,16,False,True
341681,40.761,-73.971,40.756,-73.978,13,False,True
497491,40.803,-73.968,40.795,-73.972,13,False,True
156401,40.738,-73.98,40.744,-73.993,19,True,False
470181,40.785,-73.98,40.765,-73.978,10,True,False
497962,40.803,-73.962,40.747,-73.984,22,True,False
88481,40.726,-73.986,40.723,-73.99,9,True,False
32766,40.711,-73.959,40.675,-73.945,1,True,False
228577,40.749,-73.992,40.708,-73.987,12,False,True
439730,40.776,-73.956,40.747,-73.984,10,False,True
236851,40.749,-73.983,40.744,-73.99,9,False,True
143276,40.738,-74.004,40.759,-73.984,10,False,True
223349,40.749,-74.001,40.765,-73.999,5,False,True
150931,40.738,-73.989,40.732,-73.978,19,False,True
483713,40.791,-73.974,40.759,-73.987,12,False,True
11059,40.663,-73.992,40.726,-73.993,21,False,True
18294,40.702,-74.013,40.645,-73.777,9,False,True
149236,40.738,-73.992,40.747,-74.008,11,False,True
69445,40.723,-73.998,40.744,-73.99,20,False,True
444249,40.776,-73.95,40.786,-73.975,21,False,True
200713,40.746,-74.01,40.798,-73.972,12,True,False
417077,40.773,-73.962,40.744,-74.002,9,False,True
116135,40.732,-73.992,40.729,-74.014,10,True,False
174014,40.741,-73.983,40.744,-73.987,23,False,True
18483,40.702,-74.013,40.711,-74.008,16,False,True
89674,40.726,-73.986,40.768,-73.969,8,False,True
145271,40.738,-73.998,40.726,-73.999,11,False,True
247988,40.752,-74.007,40.726,-74.008,17,True,False
409561,40.77,-73.864,40.744,-74.011,18,True,False
456866,40.779,-73.95,40.729,-73.987,14,False,True
106216,40.729,-73.959,40.72,-73.957,11,False,True
340549,40.761,-73.971,40.618,-74.035,19,False,True
92965,40.729,-74.007,40.75,-73.996,19,False,True
280568,40.755,-73.983,40.75,-73.972,15,True,False
187414,40.744,-73.992,40.759,-74.002,1,True,False
252849,40.752,-73.989,40.735,-74.002,9,False,True
177175,40.741,-73.977,40.744,-73.978,10,False,True
97795,40.729,-73.995,40.747,-73.993,18,True,False
353678,40.764,-73.989,40.753,-73.999,21,False,True
233906,40.749,-73.989,40.756,-73.975,20,True,False
233328,40.749,-73.989,40.744,-73.984,4,True,False
